food_name,category,calories,protein_g,carbs_g,fat_g,fiber_g,sugars_g,sodium_mg,cholesterol_mg,meal_type,water_ml,calorie_category,health_score
Scrambled Eggs (2 large),protein/dairy,180,12.0,2.0,14.0,0.0,1.0,180,370,breakfast,250,medium,37.0
Whole Wheat Toast (1 slice),grain,80,4.0,14.0,1.0,2.0,2.0,140,0,breakfast,0,low,52.3
Coffee (black),beverage,5,0.3,0.0,0.1,0.0,0.0,5,0,breakfast,0,low,42.7
Banana,fruit,105,1.3,27.0,0.4,3.1,14.0,1,0,breakfast,0,medium,46.4
Grilled Chicken Salad,meal/protein,350,30.0,10.0,20.0,5.0,4.0,400,80,lunch,500,high,94.0
Apple,fruit,95,0.5,25.0,0.3,4.4,19.0,2,0,snack,0,low,46.6
Salmon (4oz grilled),protein/fish,230,25.0,0.0,14.0,0.0,0.0,60,60,dinner,250,medium,76.9
Quinoa (1 cup cooked),grain,222,8.0,39.0,3.6,5.0,1.0,13,0,dinner,0,medium,74.7
Steamed Broccoli (1 cup),vegetable,55,3.7,11.2,0.6,5.1,2.0,40,0,dinner,0,low,67.0
Greek Yogurt (plain 1 cup),dairy,150,25.0,8.0,3.0,0.0,7.0,85,10,snack,250,medium,73.5
Oatmeal (1 cup cooked),grain,160,6.0,28.0,3.0,4.0,1.0,2,0,breakfast,250,medium,67.6
Blueberries (1/2 cup),fruit,42,0.5,11.0,0.2,1.8,7.0,1,0,breakfast,0,low,45.1
Almonds (1 oz),nut,164,6.0,6.0,14.0,3.5,1.0,1,0,snack,0,medium,65.6
Turkey Sandwich (on wheat),meal/processed,340,22.0,34.0,12.0,5.0,6.0,850,50,lunch,500,high,71.4
Carrot Sticks (1 cup),vegetable,52,1.2,12.3,0.3,3.6,6.0,88,0,snack,0,low,52.6
Spaghetti Bolognese,meal/pasta,460,20.0,55.0,18.0,6.0,10.0,700,50,dinner,250,high,72.7
Side Salad (light dressing),vegetable,70,2.0,8.0,4.0,3.0,3.0,150,0,dinner,0,low,52.3
Protein Shake (Whey),supplement,120,24.0,3.0,1.0,1.0,2.0,160,5,snack,500,medium,78.7
Cereal (Frosted Flakes 1 cup),grain/processed,130,2.0,31.0,0.0,1.0,11.0,190,0,breakfast,0,medium,36.8
Lentil Soup (1 can),meal/legume,230,15.0,35.0,3.0,12.0,6.0,650,0,lunch,250,medium,96.9
White Rice (1 cup cooked),grain,204,4.2,44.5,0.4,0.6,0.1,2,0,dinner,0,medium,51.3
Tofu Stir-fry,meal/vegetarian,400,18.0,30.0,22.0,7.0,9.0,500,0,dinner,250,high,81.6
Orange,fruit,62,1.2,15.4,0.2,3.1,12.0,0,0,snack,0,low,47.8
Bagel (plain),grain,270,11.0,55.0,1.5,2.0,5.0,430,0,breakfast,250,medium,54.4
Cream Cheese (2 tbsp),dairy,100,2.0,2.0,10.0,0.0,1.0,90,30,breakfast,0,medium,41.1
